Alpha,K,Accuracy
65,110,0.9407142857142857
65,112,0.9403571428571429
65,114,0.940595238095238
65,116,0.9402380952380952
65,118,0.9397619047619048
65,120,0.9396428571428571
65,122,0.939047619047619
65,124,0.9384523809523809
65,126,0.9378571428571428
65,128,0.9372619047619047
65,130,0.9373809523809524
65,132,0.9373809523809524
65,134,0.9369047619047619
65,136,0.9366666666666666
65,138,0.9366666666666666
65,140,0.9360714285714286
65,142,0.9358333333333333
65,144,0.9355952380952381
65,146,0.9353571428571429
65,148,0.9347619047619048
65,150,0.9345238095238095
70,1,0.97
70,2,0.9648809523809524
70,4,0.9711904761904762
70,6,0.9719047619047619
70,8,0.9713095238095238
70,10,0.9696428571428571
70,12,0.968452380952381
70,14,0.9678571428571429
70,16,0.9654761904761905
70,18,0.9657142857142857
70,20,0.9645238095238096
70,22,0.963452380952381
70,24,0.9627380952380953
70,26,0.9620238095238095
70,28,0.9601190476190476
70,30,0.9588095238095238
70,32,0.9577380952380953
70,34,0.9571428571428572
70,36,0.9573809523809523
70,38,0.9564285714285714
70,40,0.9557142857142857
70,42,0.955
70,44,0.9542857142857143
70,46,0.9539285714285715
70,48,0.9533333333333334
70,50,0.9530952380952381
70,52,0.9525
70,54,0.9511904761904761
70,56,0.9504761904761905
